"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2024","66,843.3","66,694.5","67,241.3","66,443.8","92.68K","0.22%"
"10/25/2024","66,696.8","68,191.9","68,756.8","65,644.2","110.51K","-2.19%"
"10/24/2024","68,191.5","66,659.2","68,831.8","66,510.6","82.78K","2.29%"
"10/23/2024","66,663.7","67,428.6","67,441.1","65,246.7","84.99K","-1.13%"
"10/22/2024","67,427.3","67,370.8","67,815.3","66,609.4","86.76K","0.08%"
"10/21/2024","67,371.3","69,030.5","69,490.8","66,845.5","109.28K","-2.40%"
"10/20/2024","69,030.5","68,373.3","69,386.4","67,443.9","44.92K","0.96%"
"10/19/2024","68,372.0","68,426.4","68,688.8","68,025.5","33.29K","-0.07%"
"10/18/2024","68,423.1","67,416.5","68,990.3","67,190.9","99.20K","1.49%"
"10/17/2024","67,418.4","67,618.1","67,933.5","66,677.3","84.68K","-0.30%"
"10/16/2024","67,617.9","67,075.1","68,389.4","66,766.6","98.30K","0.81%"
"10/15/2024","67,077.5","66,084.1","67,821.9","64,850.6","136.72K","1.51%"
"10/14/2024","66,081.7","62,870.7","66,476.6","62,463.7","122.09K","5.11%"
"10/13/2024","62,870.9","63,205.4","63,284.6","62,054.2","42.26K","-0.53%"
"10/12/2024","63,205.1","62,506.6","63,463.1","62,486.1","40.91K","1.13%"
"10/11/2024","62,499.4","60,317.5","63,385.1","60,080.6","86.38K","3.62%"
"10/10/2024","60,316.2","60,628.9","61,304.6","59,075.7","83.86K","-0.52%"
"10/09/2024","60,628.8","62,157.0","62,537.0","60,355.5","68.79K","-2.46%"
"10/08/2024","62,157.0","62,226.9","63,196.6","61,883.2","63.75K","-0.14%"
"10/07/2024","62,245.6","62,819.8","64,449.3","62,175.8","86.27K","-0.91%"
"10/06/2024","62,819.4","62,062.0","62,934.5","61,495.4","31.72K","1.22%"
"10/05/2024","62,061.4","62,085.5","62,366.8","61,705.7","30.15K","-0.03%"
"10/04/2024","62,081.0","60,751.4","62,471.7","60,469.3","72.71K","2.19%"
"10/03/2024","60,751.2","60,642.0","61,468.9","59,904.4","82.43K","0.17%"
"10/02/2024","60,645.7","60,834.2","62,339.8","60,002.7","98.94K","-0.31%"
"10/01/2024","60,835.5","63,329.9","64,125.3","60,195.9","134.93K","-3.95%"
"09/30/2024","63,339.2","65,607.0","65,607.0","62,901.1","101.70K","-3.46%"
"09/29/2024","65,607.1","65,862.8","66,065.7","65,436.8","32.60K","-0.39%"
"09/28/2024","65,866.5","65,775.6","66,232.5","65,438.1","35.00K","0.14%"
"09/27/2024","65,776.3","65,168.8","66,440.7","64,839.2","80.55K","0.92%"
"09/26/2024","65,175.7","63,157.2","65,770.9","62,693.3","96.06K","3.20%"